"last_name, first_name","player_id","year","hit","strikeout","walk","batting_avg","slg_percent","babip","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_hit_ground","xba",""
"Velazquez, Andrew","623205","2022","63","119","15",".196",".304",".274","17","3","3","25",".202",
"Bote, David","623520","2022","30","45","6",".259",".431",".382","1","3","4","10",".233",
"Ramirez, Harold","623912","2022","121","72","19",".300",".404",".350","3","5","9","59",".275",
"Santander, Anthony","623993","2022","138","122","55",".240",".455",".248","0","14","13","29",".257",
"Alonso, Pete","624413","2022","162","128","67",".271",".518",".279","5","17","12","41",".262",
"Arroyo, Christian","624414","2022","80","49","13",".286",".414",".326","5","7","3","28",".292",
"Biggio, Cavan","624415","2022","52","85","38",".202",".350",".275","2","2","6","12",".193",
"Frazier, Adam","624428","2022","129","73","46",".238",".311",".268","11","15","5","37",".262",
"Trevino, Jose","624431","2022","83","62","15",".248",".388",".274","2","5","2","24",".239",
"Gordon, Nick","624503","2022","110","105","19",".272",".427",".340","6","8","10","31",".261",
"McGuire, Reese","624512","2022","67","56","12",".269",".369",".332","1","6","3","21",".233",
"Soler, Jorge","624585","2022","56","90","31",".207",".400",".256","0","9","3","13",".226",
"Sosa, Edmundo","624641","2022","40","50","5",".227",".369",".304","6","6","7","14",".244",
"Hernandez, Yadiel","628450","2022","82","74","19",".269",".410",".326","2","9","1","23",".244",
"Ibanez, Andy","628451","2022","26","21","9",".218",".277",".258","3","0","0","13",".214",
"Cronenworth, Jake","630105","2022","140","131","70",".239",".390",".275","3","2","16","46",".221",
"Meadows, Austin","640457","2022","32","17","16",".250",".328",".288","0","2","3","9",".308",
"Mercado, Oscar","640458","2022","25","29","5",".207",".372",".236","2","4","1","5",".203",
"Pinder, Chad","640461","2022","85","118","14",".235",".385",".313","2","10","0","27",".235",
"Azocar, Jose","640492","2022","52","44","12",".257",".332",".327","5","6","0","25",".246",
"Anderson, Tim","641313","2022","100","55","14",".301",".395",".347","13","10","5","39",".297",
"Bellinger, Cody","641355","2022","106","150","38",".210",".389",".255","14","7","2","28",".213",
"Collins, Zack","641470","2022","15","41","9",".155",".320",".208","0","0","1","1",".181",
"Crawford, J.P.","641487","2022","126","80","68",".243",".336",".275","3","11","10","46",".255",
"Delay, Jason","641511","2022","33","50","9",".213",".271",".308","0","4","2","10",".200",
"Dozier, Hunter","641531","2022","109","125","34",".236",".387",".298","4","14","3","35",".241",
"Engel, Adam","641553","2022","55","76","11",".224",".310",".317","12","2","4","21",".219",
"Fraley, Jake","641584","2022","56","54","26",".259",".468",".289","4","1","3","16",".248",
"Garver, Mitch","641598","2022","39","53","23",".207",".404",".228","1","3","2","11",".222",
"Guillorme, Luis","641645","2022","81","46","34",".273",".340",".317","1","15","2","33",".255",
"Hampson, Garrett","641658","2022","42","63","21",".211",".307",".294","12","3","1","18",".202",
"Heim, Jonah","641680","2022","92","87","41",".227",".399",".249","2","10","1","23",".224",
"Leblanc, Charles","641779","2022","41","53","12",".263",".404",".374","4","0","1","13",".218",
"Mancini III, Trey","641820","2022","124","135","53",".239",".391",".286","0","12","10","40",".245",
"McMahon, Ryan","641857","2022","130","158","60",".246",".414",".311","7","7","5","39",".247",
"Neuse, Sheldon","641914","2022","58","80","20",".214",".288",".289","6","5","2","28",".212",
"O'Neill, Tyler","641933","2022","76","103","38",".228",".392",".277","14","9","4","25",".240",
"Smith, Dominic","642086","2022","26","37","12",".194",".284",".263","0","0","4","8",".219",
"Tellez, Rowdy","642133","2022","116","121","62",".219",".461",".215","2","20","5","22",".252",
"VanMeter, Josh","642165","2022","32","45","19",".187",".292",".232","4","3","0","8",".224",
